date,grade9price,grade10price,adjclosestock,volume,adjclosebond,stockreturns,bondadjusted,excessreturns,adjclosestocklag1,adjclosebondlag1,volumelag1,adjclosestocklag2,adjclosebondlag2,volumelag2,adjclosestocklag3,adjclosebondlag3,volumelag3,adjclosestocklag4,adjclosebondlag4,volumelag4,adjclosestocklag5,adjclosebondlag5,volumelag5,adjclosestocklag6,adjclosebondlag6,volumelag6
2020-10-01,716.9992307692307,1813.0139130434784,3269.9599609375,89938980000,1.6399999856948853,-0.0276657862213797,0.0163999998569488,-0.1579207922311384,3363.0,1.4509999752044678,92310780000.0,3500.31005859375,1.4520000219345093,82466520000.0,3271.1201171875,1.1979999542236328,96928130000.0,3100.2900390625,1.409000039100647,131458880000.0,3044.31005859375,1.406999945640564,107135190000.0,2912.429931640625,1.2660000324249268,123608160000.0
2020-11-01,517.2865517241379,1003.0225203252032,3621.6298828125,101247180000,1.5729999542236328,0.107545635443859,0.0157299995422363,0.1483993135265843,3269.9599609375,1.6399999856948853,89938980000.0,3363.0,1.4509999752044678,92310780000.0,3500.31005859375,1.4520000219345093,82466520000.0,3271.1201171875,1.1979999542236328,96928130000.0,3100.2900390625,1.409000039100647,131458880000.0,3044.31005859375,1.406999945640564,107135190000.0
2020-12-01,375.0,731.6890476190476,3756.070068359375,96375680000,1.6460000276565552,0.03712145909357,0.0164600002765655,-0.0092867262575555,3621.6298828125,1.5729999542236328,101247180000.0,3269.9599609375,1.6399999856948853,89938980000.0,3363.0,1.4509999752044678,92310780000.0,3500.31005859375,1.4520000219345093,82466520000.0,3271.1201171875,1.1979999542236328,96928130000.0,3100.2900390625,1.409000039100647,131458880000.0
2021-01-01,393.1834782608696,699.8250925925926,3714.239990234375,106117800000,1.8580000400543213,-0.0111366607554451,0.0185800004005432,-0.1399337499630285,3756.070068359375,1.6460000276565552,96375680000.0,3621.6298828125,1.5729999542236328,101247180000.0,3269.9599609375,1.6399999856948853,89938980000.0,3363.0,1.4509999752044678,92310780000.0,3500.31005859375,1.4520000219345093,82466520000.0,3271.1201171875,1.1979999542236328,96928130000.0
2021-02-01,394.7492857142857,682.4419480519481,3811.14990234375,99082320000,2.181999921798706,0.0260914513774483,0.021819999217987,-0.1482895361143024,3714.239990234375,1.8580000400543213,106117800000.0,3756.070068359375,1.6460000276565552,96375680000.0,3621.6298828125,1.5729999542236328,101247180000.0,3269.9599609375,1.6399999856948853,89938980000.0,3363.0,1.4509999752044678,92310780000.0,3500.31005859375,1.4520000219345093,82466520000.0
2021-03-01,343.8209090909091,734.0345,3972.889892578125,122371150000,2.424999952316284,0.0424386325331651,0.0242499995231628,-0.0689271049675326,3811.14990234375,2.181999921798706,99082320000.0,3714.239990234375,1.8580000400543213,106117800000.0,3756.070068359375,1.6460000276565552,96375680000.0,3621.6298828125,1.5729999542236328,101247180000.0,3269.9599609375,1.6399999856948853,89938980000.0,3363.0,1.4509999752044678,92310780000.0
2021-04-01,343.8209090909091,734.0345,4181.169921875,83124090000,2.3010001182556152,0.0524253213475585,0.0230100011825561,0.1035592745429917,3972.889892578125,2.424999952316284,122371150000.0,3811.14990234375,2.181999921798706,99082320000.0,3714.239990234375,1.8580000400543213,106117800000.0,3756.070068359375,1.6460000276565552,96375680000.0,3621.6298828125,1.5729999542236328,101247180000.0,3269.9599609375,1.6399999856948853,89938980000.0
2021-05-01,343.8209090909091,734.0345,4204.10986328125,88321860000,2.263000011444092,0.0054864886706069,0.0226300001144409,0.0220010931289201,4181.169921875,2.3010001182556152,83124090000.0,3972.889892578125,2.424999952316284,122371150000.0,3811.14990234375,2.181999921798706,99082320000.0,3714.239990234375,1.8580000400543213,106117800000.0,3756.070068359375,1.6460000276565552,96375680000.0,3621.6298828125,1.5729999542236328,101247180000.0
2021-06-01,343.8209090909091,734.0345,4297.5,102544180000,2.065000057220459,0.0222140095658347,0.0206500005722045,0.109708465254009,4204.10986328125,2.263000011444092,88321860000.0,4181.169921875,2.3010001182556152,83124090000.0,3972.889892578125,2.424999952316284,122371150000.0,3811.14990234375,2.181999921798706,99082320000.0,3714.239990234375,1.8580000400543213,106117800000.0,3756.070068359375,1.6460000276565552,96375680000.0
2021-07-01,262.6725,476.457,4395.259765625,84255620000,1.8969999551773071,0.0227480548283887,0.018969999551773,0.1041040341930014,4297.5,2.065000057220459,102544180000.0,4204.10986328125,2.263000011444092,88321860000.0,4181.169921875,2.3010001182556152,83124090000.0,3972.889892578125,2.424999952316284,122371150000.0,3811.14990234375,2.181999921798706,99082320000.0,3714.239990234375,1.8580000400543213,106117800000.0
2021-08-01,249.24888888888887,515.840625,4522.68017578125,80500760000,1.9270000457763672,0.0289904162554386,0.0192700004577636,0.0131759242639213,4395.259765625,1.8969999551773071,84255620000.0,4297.5,2.065000057220459,102544180000.0,4204.10986328125,2.263000011444092,88321860000.0,4181.169921875,2.3010001182556152,83124090000.0,3972.889892578125,2.424999952316284,122371150000.0,3811.14990234375,2.181999921798706,99082320000.0
2021-09-01,252.21,461.2421052631579,4307.5400390625,85528860000,2.0920000076293945,-0.047569168801901,0.0209200000762939,-0.1331944713101585,4522.68017578125,1.9270000457763672,80500760000.0,4395.259765625,1.8969999551773071,84255620000.0,4297.5,2.065000057220459,102544180000.0,4204.10986328125,2.263000011444092,88321860000.0,4181.169921875,2.3010001182556152,83124090000.0,3972.889892578125,2.424999952316284,122371150000.0
