Date,5,6,7,8,9,10,Unnamed: 0,Adj Close_stock,Volume,Adj Close_bond,Stock_Returns,Bond_Adjusted,Excess_Returns
2016-09-01,,,,46.005,97.76333333333334,,8,2168.27001953125,77023620000,2.3359999656677246,-0.0012344511393173,0.0233599996566772,-0.0482985576328093
2016-10-01,,18.25,,48.95125,76.0,,9,2126.14990234375,72915530000,2.58899998664856,-0.0194256789090344,0.0258899998664855,-0.1277304840028638
2016-11-01,,18.25,25.0,29.5175,76.0,,10,2198.81005859375,88445380000,3.0169999599456787,0.034174521829295,0.0301699995994567,-0.1311402620657646
2016-12-01,,24.99,25.0,26.72,39.62,222.5,11,2238.830078125,75344550000,3.062999963760376,0.0182007624418658,0.0306299996376037,0.0029538269346058
2017-01-01,,24.99,20.5,31.0,78.4175,192.5,12,2278.8701171875,70576420000,3.0510001182556152,0.0178843581983825,0.0305100011825561,0.0218020355234677
2017-02-01,,24.99,20.5,23.25,55.992,151.0,13,2363.639892578125,69260940000,2.9679999351501465,0.0371981600668163,0.0296799993515014,0.0644024143730808
2017-03-01,,24.99,20.5,24.5,76.512,151.0,14,2362.719970703125,81664010000,3.0179998874664307,-0.0003891971352694,0.0301799988746643,-0.0172355426233985
2017-04-01,,25.0,20.5,24.5,51.07666666666666,151.0,15,2384.199951171875,65369860000,2.95199990272522,0.0090912087488546,0.0295199990272522,0.0309599917847005
2017-05-01,,19.276666666666667,20.5,24.5,66.66666666666667,180.0,16,2411.800048828125,79719460000,2.8570001125335693,0.0115762512463286,0.0285700011253356,0.0437577530492077
2017-06-01,10.0,18.495,22.83,49.99,59.7475,207.5,17,2423.409912109375,81078810000,2.8399999141693115,0.0048137752078125,0.0283999991416931,0.0107641419192728
2017-07-01,10.0,49.99,33.025,34.875,67.2390909090909,362.9,18,2470.300048828125,63348090000,2.8980000019073486,0.0193488260011018,0.0289800000190734,-0.001073740721053
2017-08-01,9.99,29.95,39.45,52.7475,63.12375,434.9975,19,2471.64990234375,70784900000,2.7249999046325684,0.0005464330198532,0.0272499990463256,0.0602428088517781
2017-09-01,9.99,40.0,39.45,37.8725,63.69142857142857,420.0,20,2519.360107421875,66624120000,2.8570001125335693,0.0193029785621676,0.0285700011253356,-0.0291374663995358
2017-10-01,9.99,17.0,21.345,66.062,93.82307692307693,372.8333333333333,21,2575.260009765625,71088550000,2.875,0.0221881350661512,0.02875,0.0158878596872789
2017-11-01,24.95,17.0,40.99,36.14,90.37583333333332,395.81,22,2647.580078125,73416960000,2.8320000171661377,0.0280826278065633,0.0283200001716613,0.0430391435748632
2017-12-01,24.95,30.0,40.99,41.3125,127.33599999999998,330.0,23,2673.610107421875,65531700000,2.739000082015991,0.0098316305942705,0.0273900008201599,0.0426705905471053
2018-01-01,18.0,20.0,34.983333333333334,43.901,115.8111111111111,360.0,24,2823.81005859375,77318690000,2.941999912261963,0.0561787041255281,0.0294199991226196,-0.0179358720582583
2018-02-01,18.245,47.0,31.0,64.99,92.89777777777778,301.5525,25,2713.830078125,79933970000,3.127000093460083,-0.0389473718793677,0.0312700009346008,-0.1018298282747803
2018-03-01,15.5,47.0,44.66333333333333,54.321666666666665,87.05230769230769,321.25,26,2640.8701171875,76803890000,2.9719998836517334,-0.0268844986005566,0.0297199988365173,0.0226838433168364
2018-04-01,19.99,25.1125,50.431666666666665,50.895833333333336,133.53923076923076,372.6025,27,2648.050048828125,70194700000,3.0969998836517334,0.0027187749953683,0.0309699988365173,-0.0393404460320601
2018-05-01,28.0,25.1125,99.99,45.0,89.715,300.0,28,2705.27001953125,76011820000,2.986000061035156,0.0216083418545836,0.0298600006103515,0.0574494225089667
2018-06-01,28.0,18.75,34.580000000000005,54.16333333333333,87.31615384615384,332.5825,29,2718.3701171875,77891360000,2.9830000400543213,0.0048424362676078,0.0298300004005432,0.0058471318200234
2018-07-01,28.0,30.0,36.77333333333333,55.6675,83.2,433.3333333333333,30,2816.2900390625,64898300000,3.0829999446868896,0.0360215561728991,0.0308299994468688,0.0024982899007512
2018-08-01,46.0,43.495000000000005,21.25,42.95181818181818,121.41625,445.495,31,2901.52001953125,69523070000,3.009999990463257,0.0302632112767482,0.0300999999046325,0.0539414323384896
2018-09-01,46.0,43.495000000000005,44.0,45.926,70.79,320.0,32,2913.97998046875,63031510000,3.197000026702881,0.0042942874264617,0.0319700002670288,-0.0578319706572942
2018-10-01,46.0,43.495000000000005,44.0,45.926,82.5,381.0,33,2711.739990234375,91930980000,3.4019999504089355,-0.0694033560936963,0.0340199995040893,-0.1335259466454
2018-11-01,46.0,43.495000000000005,44.0,45.926,82.5,381.0,34,2760.169921875,80620020000,3.311000108718872,0.0178593566547797,0.0331100010871887,0.0446082817037424
2018-12-01,46.0,32.0,37.485,61.815,62.5,351.52,35,2506.85009765625,84162180000,3.0199999809265137,-0.0917768946799725,0.0301999998092651,-0.0038880036388436
2019-01-01,46.0,13.9,28.505000000000003,45.0,105.51625,550.0,36,2704.10009765625,80859870000,3.005000114440918,0.0786844016658261,0.0300500011444091,0.0836512449043462
2019-02-01,46.0,13.9,27.0,31.346666666666668,81.14571428571428,290.0,37,2784.489990234375,70638770000,3.0829999446868896,0.0297288893439271,0.0308299994468688,0.0037722080542548
2019-03-01,25.0,13.9,41.75,56.835,129.70142857142858,301.66,38,2834.39990234375,79159660000,2.822000026702881,0.0179242562495884,0.0282200002670288,0.1025820320091388
2019-04-01,25.0,30.0,35.0,62.5,84.524,295.0,39,2945.830078125,70090370000,2.940000057220459,0.0393134983137379,0.0294000005722045,-0.0025008281926457
2019-05-01,25.0,34.99,35.0,62.5,77.0675,335.0,40,2752.06005859375,77250740000,2.5829999446868896,-0.0657777313668354,0.0258299994468688,0.0556508759751267
2019-06-01,25.0,34.99,52.0,36.68,83.5,600.0,41,2941.760009765625,71250630000,2.5280001163482666,0.0689301639982407,0.0252800011634826,0.0902231680696326
2019-07-01,25.0,26.8725,42.330000000000005,86.71,81.95,589.995,42,2980.3798828125,70599470000,2.5269999504089355,0.0131281521669579,0.0252699995040893,0.0135237874095606
2019-08-01,25.0,26.8725,65.0,80.0,151.51666666666668,390.0,43,2926.4599609375,80269220000,1.9700000286102293,-0.0180916272405239,0.0197000002861022,0.2023278158657447
2019-09-01,25.0,46.53,50.938,63.885,151.39166666666668,345.0,44,2976.739990234375,74178980000,2.121000051498413,0.0171811779310206,0.0212100005149841,-0.0594685787670588
2019-10-01,34.99,28.0,39.0,71.71000000000001,138.68333333333334,375.345,45,3037.56005859375,77720640000,2.1760001182556152,0.020431770513684,0.0217600011825561,-0.0054994248761257
2019-11-01,34.99,23.245,41.25,68.66666666666667,123.59,329.99,46,3140.97998046875,72410620000,2.20199990272522,0.0340470377144999,0.0220199990272522,0.0220986080009724
2019-12-01,34.99,34.45,51.29600000000001,136.414,117.2,425.0,47,3230.780029296875,72325540000,2.388999938964844,0.02858981890573,0.0238899993896484,-0.0563329987602427
2020-01-01,34.99,40.0,65.0,77.0,377.1225,425.0,48,3225.52001953125,77287980000,2.015000104904175,-0.0016280928190489,0.0201500010490417,0.1549226998204533
2020-02-01,34.99,58.495000000000005,97.21,103.5725,159.202,425.0,49,2954.219970703125,84436590000,1.6710000038146973,-0.0841104836384031,0.0167100000381469,0.0866091606197972
2020-03-01,34.99,39.392857142857146,44.00333333333333,99.36875,230.20555555555555,425.0,50,2584.590087890625,162185380000,1.35099995136261,-0.1251192824089282,0.013509999513626,0.0663828430976934
2020-04-01,34.99,39.392857142857146,92.14,122.40583333333332,282.13,625.0,51,2912.429931640625,123608160000,1.2660000324249268,0.1268440381652789,0.0126600003242492,0.1897603386817613
2020-05-01,53.99666666666667,66.0,99.365,129.947,312.1376923076923,1085.465,52,3044.31005859375,107135190000,1.406999945640564,0.0452818196655582,0.0140699994564056,-0.0660925165147992
2020-06-01,61.66666666666666,118.66,133.8,174.5,371.191,2136.75,53,3100.2900390625,131458880000,1.409000039100647,0.0183883965139242,0.0140900003910064,0.0169668659258952
2020-07-01,115.0,181.245,158.90727272727273,213.154375,401.6238461538461,2649.995,54,3271.1201171875,96928130000,1.1979999542236328,0.0551013214804436,0.0119799995422363,0.2048529744411446
2020-08-01,81.24833333333333,126.0,155.0764705882353,214.6,414.145,1612.5,55,3500.31005859375,82466520000,1.4520000219345093,0.0700646669017177,0.014520000219345,-0.1419554311086213
2020-09-01,93.0,130.78571428571428,173.89,387.773,680.7435,3428.495,56,3363.0,92310780000,1.4509999752044678,-0.039227970178423,0.0145099997520446,-0.0385392327714434
2020-10-01,709.768,321.8194117647059,527.7139130434782,825.5912820512821,1599.71,6165.25,57,3269.9599609375,89938980000,1.6399999856948853,-0.0276657862213797,0.0163999998569488,-0.1579207922311384
2020-11-01,226.95454545454547,266.29,444.7454166666666,501.97636363636366,1063.1628947368422,3775.0,58,3621.6298828125,101247180000,1.5729999542236328,0.107545635443859,0.0157299995422363,0.1483993135265843
2020-12-01,128.116,198.5,262.13222222222225,586.0253846153846,631.0066666666667,3750.0,59,3756.070068359375,96375680000,1.6460000276565552,0.03712145909357,0.0164600002765655,-0.0092867262575555
2021-01-01,155.22727272727272,171.149,239.48684210526315,360.7841935483871,688.2831818181818,3150.0,60,3714.239990234375,106117800000,1.8580000400543213,-0.0111366607554451,0.0185800004005432,-0.1399337499630285
