Date,Grade,Price
2016-10,8,48.95125
2016-11,8,29.5175
2016-12,8,26.72
2017-01,8,31.0
2017-02,8,23.25
2017-03,8,24.5
2017-04,8,24.5
2017-05,8,24.5
2017-06,8,49.99
2017-07,8,34.875
2017-08,8,52.7475
2017-09,8,37.8725
2017-10,8,66.062
2017-11,8,36.14
2017-12,8,41.3125
2018-01,8,43.900999999999996
2018-02,8,64.99
2018-03,8,54.321666666666665
2018-04,8,50.895833333333336
2018-05,8,45.0
2018-06,8,54.163333333333334
2018-07,8,55.667500000000004
2018-08,8,42.95181818181818
2018-09,8,45.926
2018-10,8,45.926
2018-11,8,45.926
2018-12,8,61.815
2019-01,8,45.0
2019-02,8,31.346666666666668
2019-03,8,56.835
2019-04,8,62.5
2019-05,8,62.5
2019-06,8,36.68
2019-07,8,86.71
2019-08,8,80.0
2019-09,8,63.885
2019-10,8,71.71000000000001
2019-11,8,68.66666666666667
2019-12,8,136.414
2020-01,8,77.0
2020-02,8,103.57249999999999
2020-03,8,99.36875
2020-04,8,122.40583333333332
2020-05,8,129.947
2020-06,8,174.5
2020-07,8,213.15437500000002
2020-08,8,214.60000000000002
2020-09,8,387.773
2020-10,8,825.5912820512821
2020-11,8,501.97636363636366
2020-12,8,586.0253846153846
2021-01,8,360.78419354838707
2021-02,8,366.6973913043479
2021-03,8,389.548
2021-04,8,348.09857142857146
2021-05,8,315.71181818181816
2021-06,8,252.26999999999998
2021-07,8,231.29250000000002
2021-08,8,310.36384615384617
2021-09,8,216.75
2021-10,8,214.04875
2021-11,8,214.04875
2021-12,8,191.66666666666666
2022-01,8,191.66666666666666
2022-02,8,197.83333333333334
2022-03,8,197.83333333333334
2022-04,8,197.83333333333334
2022-05,8,193.6725
2022-06,8,262.34
2022-07,8,262.34
2022-08,8,262.34
2022-09,8,195.89600000000002
2022-10,8,155.25
2022-11,8,183.5
2022-12,8,183.5
2023-01,8,157.0
2023-02,8,157.0
2023-03,8,187.0325
2023-04,8,174.0
2016-09,9,97.76333333333334
2016-10,9,76.0
2016-11,9,76.0
2016-12,9,39.62
2017-01,9,78.4175
2017-02,9,55.992
2017-03,9,76.512
2017-04,9,51.07666666666666
2017-05,9,66.66666666666667
2017-06,9,59.7475
2017-07,9,67.2390909090909
2017-08,9,63.12375
2017-09,9,63.69142857142857
2017-10,9,93.82307692307693
2017-11,9,90.37583333333333
2017-12,9,127.33599999999998
2018-01,9,115.8111111111111
2018-02,9,92.89777777777778
2018-03,9,87.05230769230769
2018-04,9,133.53923076923076
2018-05,9,89.715
2018-06,9,87.31615384615384
2018-07,9,83.2
2018-08,9,121.41625
2018-09,9,70.79
2018-10,9,82.5
2018-11,9,82.5
2018-12,9,62.5
2019-01,9,105.51625
2019-02,9,81.14571428571428
2019-03,9,129.70142857142858
2019-04,9,84.524
2019-05,9,77.0675
2019-06,9,83.5
2019-07,9,81.95
2019-08,9,151.51666666666668
2019-09,9,151.39166666666668
2019-10,9,138.68333333333334
2019-11,9,123.59
2019-12,9,117.2
2020-01,9,377.1225
2020-02,9,159.202
2020-03,9,230.20555555555555
2020-04,9,282.13
2020-05,9,312.1376923076923
2020-06,9,371.191
2020-07,9,401.6238461538461
2020-08,9,414.145
2020-09,9,680.7435
2020-10,9,1599.71
2020-11,9,1063.1628947368422
2020-12,9,631.0066666666667
2021-01,9,688.2831818181818
2021-02,9,700.145
2021-03,9,1158.2861111111113
2021-04,9,748.2857142857143
2021-05,9,799.8571428571429
2021-06,9,529.2
2021-07,9,462.5445454545454
2021-08,9,479.99666666666667
2021-09,9,556.0
2021-10,9,746.5
2021-11,9,426.0
2021-12,9,480.0
2022-01,9,451.0
2022-02,9,432.59
2022-03,9,432.59
2022-04,9,430.0
2022-05,9,435.0
2022-06,9,435.0
2022-07,9,435.0
2022-08,9,435.0
2022-09,9,355.0
2022-10,9,355.0
2022-11,9,355.0
2022-12,9,355.0
2023-01,9,376.0
2023-02,9,376.0
2023-03,9,355.4266666666667
2023-04,9,315.99
2016-12,10,222.5
2017-01,10,192.5
