date,grade6price,grade7price,grade8price,grade9price,grade10price,adjclosestock,volume,adjclosebond,stockreturns,bondadjusted,excessreturns
2016-09-01,19.99,20.5,31.0,93.0,112.5,2168.27001953125,77023620000,2.3359999656677246,-0.0012344511393173,0.0233599996566772,-0.0482985576328093
2016-10-01,16.5,20.5,31.0,60.0,112.5,2126.14990234375,72915530000,2.58899998664856,-0.0194256789090344,0.0258899998664855,-0.1277304840028638
2016-11-01,20.0,20.5,32.0,59.95,112.5,2198.81005859375,88445380000,3.0169999599456787,0.034174521829295,0.0301699995994567,-0.1311402620657646
2016-12-01,20.0,20.5,22.5,46.0,112.5,2238.830078125,75344550000,3.062999963760376,0.0182007624418658,0.0306299996376037,0.0029538269346058
2017-01-01,20.0,20.5,23.375,56.0,112.5,2278.8701171875,70576420000,3.0510001182556152,0.0178843581983825,0.0305100011825561,0.0218020355234677
2017-02-01,20.0,20.5,23.375,40.5425,132.44,2363.639892578125,69260940000,2.9679999351501465,0.0371981600668163,0.0296799993515014,0.0644024143730808
2017-03-01,20.0,20.5,23.375,44.66666666666666,122.5,2362.719970703125,81664010000,3.0179998874664307,-0.0003891971352694,0.0301799988746643,-0.0172355426233985
2017-04-01,26.0,20.5,23.375,51.0,122.5,2384.199951171875,65369860000,2.95199990272522,0.0090912087488546,0.0295199990272522,0.0309599917847005
2017-05-01,14.99,21.6275,29.99,42.5,122.5,2411.800048828125,79719460000,2.8570001125335693,0.0115762512463286,0.0285700011253356,0.0437577530492077
2017-06-01,14.99,26.99,28.0,64.12125,199.99,2423.409912109375,81078810000,2.8399999141693115,0.0048137752078125,0.0283999991416931,0.0107641419192728
2017-07-01,10.0,17.0,29.660000000000004,66.665,161.66,2470.300048828125,63348090000,2.8980000019073486,0.0193488260011018,0.0289800000190734,-0.001073740721053
2017-08-01,10.0,30.475,32.75,54.7475,397.36,2471.64990234375,70784900000,2.7249999046325684,0.0005464330198532,0.0272499990463256,0.0602428088517781
2017-09-01,10.0,30.475,42.64666666666667,60.20666666666667,372.5,2519.360107421875,66624120000,2.8570001125335693,0.0193029785621676,0.0285700011253356,-0.0291374663995358
2017-10-01,10.0,15.5,42.64666666666667,67.28285714285714,321.27,2575.260009765625,71088550000,2.875,0.0221881350661512,0.02875,0.0158878596872789
2017-11-01,10.0,29.99,58.25,59.345,285.07714285714286,2647.580078125,73416960000,2.8320000171661377,0.0280826278065633,0.0283200001716613,0.0430391435748632
2017-12-01,10.0,37.95,43.725,68.23230769230769,248.88857142857145,2673.610107421875,65531700000,2.739000082015991,0.0098316305942705,0.0273900008201599,0.0426705905471053
2018-01-01,10.0,37.95,39.333333333333336,59.498000000000005,230.0,2823.81005859375,77318690000,2.941999912261963,0.0561787041255281,0.0294199991226196,-0.0179358720582583
2018-02-01,32.0,31.99,50.3625,61.78785714285714,217.53,2713.830078125,79933970000,3.127000093460083,-0.0389473718793677,0.0312700009346008,-0.1018298282747803
2018-03-01,34.99,38.95,43.8725,67.86636363636363,263.25166666666667,2640.8701171875,76803890000,2.9719998836517334,-0.0268844986005566,0.0297199988365173,0.0226838433168364
2018-04-01,16.5,24.99,39.4,67.24416666666666,561.5600000000001,2648.050048828125,70194700000,3.0969998836517334,0.0027187749953683,0.0309699988365173,-0.0393404460320601
2018-05-01,22.5,19.95,38.39857142857143,69.49,233.71,2705.27001953125,76011820000,2.986000061035156,0.0216083418545836,0.0298600006103515,0.0574494225089667
2018-06-01,22.5,87.66666666666667,44.7425,76.86666666666666,206.25,2718.3701171875,77891360000,2.9830000400543213,0.0048424362676078,0.0298300004005432,0.0058471318200234
2018-07-01,30.0,87.66666666666667,43.014,63.73199999999999,152.75,2816.2900390625,64898300000,3.0829999446868896,0.0360215561728991,0.0308299994468688,0.0024982899007512
2018-08-01,55.0,87.66666666666667,38.63857142857143,64.985,223.56,2901.52001953125,69523070000,3.009999990463257,0.0302632112767482,0.0300999999046325,0.0539414323384896
2018-09-01,55.0,37.88,46.57,63.105,216.06,2913.97998046875,63031510000,3.197000026702881,0.0042942874264617,0.0319700002670288,-0.0578319706572942
2018-10-01,55.0,37.88,46.57,55.5,209.99,2711.739990234375,91930980000,3.4019999504089355,-0.0694033560936963,0.0340199995040893,-0.1335259466454
2018-11-01,55.0,30.0,46.57,55.0,127.17,2760.169921875,80620020000,3.311000108718872,0.0178593566547797,0.0331100010871887,0.0446082817037424
2018-12-01,55.0,31.25,34.2475,57.798,227.28,2506.85009765625,84162180000,3.0199999809265137,-0.0917768946799725,0.0301999998092651,-0.0038880036388436
2019-01-01,55.0,27.0,40.66333333333333,63.89888888888889,169.98,2704.10009765625,80859870000,3.005000114440918,0.0786844016658261,0.0300500011444091,0.0836512449043462
2019-02-01,55.0,32.79,31.0,54.30857142857143,150.212,2784.489990234375,70638770000,3.0829999446868896,0.0297288893439271,0.0308299994468688,0.0037722080542548
2019-03-01,30.0,33.5,31.0,56.81909090909091,180.83666666666667,2834.39990234375,79159660000,2.822000026702881,0.0179242562495884,0.0282200002670288,0.1025820320091388
2019-04-01,22.5,33.5,48.79600000000001,71.09833333333333,209.895,2945.830078125,70090370000,2.940000057220459,0.0393134983137379,0.0294000005722045,-0.0025008281926457
2019-05-01,22.5,33.995,39.66,58.655,181.94,2752.06005859375,77250740000,2.5829999446868896,-0.0657777313668354,0.0258299994468688,0.0556508759751267
2019-06-01,30.0,33.995,50.26666666666667,91.254,189.0,2941.760009765625,71250630000,2.5280001163482666,0.0689301639982407,0.0252800011634826,0.0902231680696326
