"Date","Grade","Price","Sale Type"
2021-03-21,7,192.5,"Auction"
2021-03-21,7,521.55,"Auction"
2021-03-20,9,2499,"Auction"
2021-03-20,6,415,"Auction"
2021-03-20,6,385,"Best Offer"
2021-03-20,7,660,"Auction"
2021-03-20,3,190,"Auction"
2021-03-19,9,2010.13,"Auction"
2021-03-19,7,550,"Auction"
2021-03-19,6,631.35,"Auction"
2021-03-19,6,370,"Auction"
2021-03-19,8,810,"Auction"
2021-03-19,5,364,"Auction"
2021-03-19,5,305.54,"Auction"
2021-03-19,4,345,"Auction"
2021-03-18,5,299,"Auction"
2021-03-18,8,760,"Auction"
2021-03-09,2,210,"Auction"
2021-03-09,9,1700,"Auction"
2021-03-09,8,720,"Auction"
2021-03-09,9,1830,"Auction"
2021-03-08,6,398,"Auction"
2021-03-08,5,339,"Auction"
2021-03-08,9,2130,"Auction"
2021-03-08,7,600,"Auction"
2021-03-08,8,2074,"Auction"
2021-03-08,9,1975,"Auction"
2021-03-08,9,1800,"Auction"
2021-03-08,9,1645,"Auction"
2021-03-08,3,192.5,"Auction"
2021-03-08,8,940,"Auction"
2021-03-08,4,209.5,"Auction"
2021-03-08,8,1077.41,"Auction"
2021-03-08,1,222.5,"Auction"
2021-03-08,9,1650,"Auction"
2021-03-07,6,649,"Best Offer"
2021-03-07,8,1160,"Auction"
2021-03-07,8,870,"Auction"
2021-03-07,8,890,"Auction"
2021-03-07,5,390,"Auction"
2021-03-07,3,305,"Auction"
2021-03-07,5,375,"Best Offer"
2021-03-07,7,630,"Auction"
2021-03-07,7,610,"Auction"
2021-03-07,8,870,"Auction"
2021-03-07,8,860,"Auction"
2021-03-07,5,360,"Auction"
2021-03-07,8,920,"Auction"
2021-03-07,5,360,"Auction"
2021-03-07,4,510,"Auction"
2021-03-07,9,2251,"Auction"
2021-03-06,9,2100,"Auction"
2021-03-06,8,900,"Auction"
2021-03-06,9,1925,"Auction"
2021-03-06,9,1802.11,"Auction"
2021-03-06,9,1925,"Auction"
2021-03-06,8,773,"Auction"
2021-03-06,8,831.77,"Auction"
2021-03-06,8,928.89,"Auction"
2021-03-05,9,2100,"Auction"
2021-03-05,8,837,"Auction"
2021-03-05,8,875,"Auction"
2021-03-05,6,411,"Auction"
2021-03-05,8,836,"Auction"
2021-03-05,5,800,"Auction"
2021-02-13,8,895,"Auction"
2021-02-12,9,2100,"Auction"
2021-02-12,5,405,"Auction"
2021-02-12,3,450,"Auction"
2021-02-12,3,255,"Auction"
2021-02-12,5,350,"Auction"
2021-02-11,7,551.01,"Auction"
2021-02-11,3,985,"Auction"
2021-02-11,9,950,"Auction"
2021-02-11,6,380,"Auction"
2021-02-11,7,615,"Auction"
2021-02-11,9,2025,"Auction"
2021-02-11,8,2500,"Auction"
2021-02-10,9,1961,"Auction"
2021-02-10,7,677,"Auction"
2021-02-10,8,920,"Auction"
2021-02-10,5,300,"Auction"
2021-02-10,8,870,"Auction"
2021-02-10,7,540,"Auction"
2021-02-10,7,606,"Auction"
2021-02-10,9,2050,"Best Offer"
2021-02-10,8,1075,"Auction"
2021-02-10,9,2125.25,"Auction"
2021-02-09,7,570,"Auction"
2021-02-09,4,307,"Best Offer"
2021-02-09,7,550,"Auction"
2021-02-09,2,303,"Auction"
2021-02-09,8,877,"Auction"
2021-02-09,7,533,"Auction"
2021-02-09,8,910,"Auction"
2021-02-09,7,615.51,"Auction"
2021-02-09,7,560,"Auction"
2021-02-08,8,1000,"Auction"
