"Date","Grade","Price","Sale Type"
2021-12-01,9,91,"Auction"
2021-11-07,10,174.85,"Auction"
2021-11-07,9,92.85,"Auction"
2021-11-06,10,185,"Auction"
2021-11-02,9,110.5,"Auction"
2021-11-02,10,190,"Auction"
2021-10-30,10,168.01,"Auction"
2021-10-30,10,158.5,"Auction"
2021-10-30,10,167.5,"Auction"
2021-10-28,10,151,"Auction"
2021-10-28,9,147.5,"Auction"
2021-10-28,10,280,"Auction"
2021-10-27,10,190.5,"Auction"
2021-10-27,9,71,"Auction"
2021-10-27,10,214.5,"Auction"
2021-10-26,10,188.37,"Auction"
2021-10-25,10,162.5,"Auction"
2021-10-25,9,77,"Auction"
2021-10-25,10,185.5,"Auction"
2021-10-24,9,81,"Auction"
2021-10-24,10,202.5,"Auction"
2021-10-24,10,165.5,"Auction"
2021-10-24,9,149.99,"Auction"
2021-10-24,10,179.04,"Auction"
2021-10-24,10,180,"Auction"
2021-10-23,10,174.91,"Auction"
2021-10-05,10,198.5,"Auction"
2021-10-04,9,70,"Auction"
2021-10-04,10,186.5,"Auction"
2021-10-04,10,182.5,"Auction"
2021-10-03,10,194.5,"Auction"
2021-10-03,10,217.5,"Auction"
2021-10-03,10,202.5,"Auction"
2021-10-03,9,191.5,"Auction"
2021-10-01,10,142.5,"Auction"
2021-10-01,10,190,"Auction"
2021-10-01,10,172.5,"Auction"
2021-10-01,10,212.5,"Auction"
2021-09-29,10,195.5,"Auction"
2021-09-29,8,50,"Auction"
2021-09-29,10,132.5,"Auction"
2021-09-29,10,127.5,"Auction"
2021-09-29,10,167.5,"Auction"
2021-09-29,10,114,"Auction"
2021-09-28,10,192.5,"Auction"
2021-09-28,9,68.05,"Auction"
2021-09-28,10,250,"Auction"
2021-09-27,10,177.94,"Auction"
2021-09-27,10,172.5,"Auction"
2021-09-27,10,176,"Auction"
2021-09-27,10,160.5,"Auction"
2021-09-27,10,150,"Auction"
2021-09-27,10,180,"Auction"
2021-09-26,10,188.5,"Auction"
2021-09-26,10,510,"Auction"
2021-09-04,9,83,"Auction"
2021-09-03,10,217.5,"Auction"
2021-09-03,10,219.5,"Auction"
2021-09-02,10,200,"Auction"
2021-09-02,10,213.5,"Auction"
2021-08-31,10,227.5,"Auction"
2021-08-30,10,152.5,"Auction"
2021-08-29,10,300,"Auction"
2021-08-29,10,241.51,"Auction"
2021-08-29,10,231,"Auction"
2021-08-29,10,193,"Auction"
2021-08-28,10,150,"Auction"
2021-08-27,10,204.5,"Auction"
2021-08-27,10,177.5,"Auction"
2021-08-27,10,157.5,"Auction"
2021-08-27,10,191.38,"Auction"
2021-08-27,10,187.5,"Auction"
2021-08-27,10,270,"Auction"
2021-08-27,9,127.5,"Auction"
2021-08-26,9,98.98,"Auction"
2021-08-26,10,227.5,"Auction"
2021-08-26,10,179.5,"Auction"
2021-08-25,9,203.5,"Auction"
2021-08-25,10,207.5,"Auction"
2021-08-24,10,202.5,"Auction"
2021-08-15,10,215.5,"Auction"
2021-08-14,9,120,"Auction"
2021-08-13,8,50,"Auction"
2021-08-13,9,130.5,"Auction"
2021-08-13,10,208.19,"Auction"
2021-08-11,9,87,"Auction"
2021-08-11,10,210.5,"Auction"
2021-08-11,10,207.5,"Auction"
2021-08-10,10,253.68,"Auction"
2021-08-10,10,225.5,"Auction"
2021-08-10,10,220,"Auction"
2021-08-09,10,209.92,"Auction"
2021-08-08,10,245,"Auction"
2021-08-07,10,253.13,"Auction"
2021-08-06,9,152.5,"Auction"
2021-08-05,10,202.51,"Auction"
2021-08-05,10,217.5,"Auction"
2021-08-05,10,199.5,"Auction"
2021-08-04,10,291,"Auction"
2021-08-03,10,218.5,"Auction"
2021-08-03,9,92,"Auction"
2021-08-03,10,225,"Auction"
2021-08-02,10,215,"Auction"
2021-08-02,10,225.1,"Auction"
2021-08-02,9,110.5,"Auction"
2021-08-01,10,222.5,"Auction"
2021-07-30,10,185.12,"Auction"
2021-07-30,10,233.5,"Auction"
2021-07-30,10,227.5,"Auction"
2021-07-30,10,227.5,"Auction"
2021-07-29,10,253,"Auction"
2021-07-29,10,237.5,"Auction"
2021-07-29,10,222.5,"Auction"
2021-07-28,10,250,"Auction"
2021-07-27,10,231.5,"Auction"
2021-07-27,9,130,"Auction"
2021-07-26,9,91,"Auction"
2021-07-26,10,227.5,"Auction"
2021-07-26,9,98,"Auction"
2021-07-25,10,202.5,"Auction"
2021-07-24,9,118.01,"Auction"
2021-07-24,10,226,"Auction"
2021-07-23,10,232,"Auction"
2021-07-23,10,255,"Auction"
2021-07-23,10,212.5,"Auction"
2021-07-23,10,230,"Auction"
2021-07-23,9,137.5,"Auction"
2021-07-22,10,250,"Auction"
2021-07-21,10,200,"Auction"
2021-07-21,10,217.5,"Auction"
2021-03-09,10,385,"Auction"
2021-03-09,9,170,"Auction"
2021-03-08,9,183.5,"Auction"
2021-03-08,10,356,"Auction"
2021-03-08,9,157.5,"Auction"
2021-03-06,10,330,"Auction"
2021-03-05,10,345,"Auction"
2021-03-04,10,305,"Auction"
2021-03-02,10,350,"Auction"
2021-03-02,9,144.99,"Auction"
2021-03-02,9,175,"Best Offer"
2021-02-28,10,258,"Auction"
2021-02-28,10,261,"Auction"
2021-02-28,10,300,"Auction"
