"Date","Grade","Price","Sale Type"
2021-10-13,9,360,"Auction"
2021-10-13,9,381,"Auction"
2021-10-11,10,750,"Auction"
2021-10-11,9,305,"Auction"
2021-10-11,10,799,"Auction"
2021-10-05,10,900,"Auction"
2021-10-04,9,336,"Auction"
2021-09-30,10,720,"Auction"
2021-09-30,8,299.99,"Auction"
2021-09-29,10,1121.66,"Auction"
2021-09-28,8,270,"Auction"
2021-09-27,9,380,"Auction"
2021-09-27,10,825,"Auction"
2021-09-27,9,401.67,"Auction"
2021-09-27,10,800,"Auction"
2021-09-26,10,860,"Auction"
2021-09-26,9,390,"Auction"
2021-09-25,9,455,"Auction"
2021-09-23,9,425,"Auction"
2021-09-21,9,400,"Auction"
2021-09-19,10,875,"Auction"
2021-09-19,10,900,"Auction"
2021-09-18,10,911,"Auction"
2021-09-18,10,860,"Auction"
2021-09-16,9,390,"Auction"
2021-09-14,10,860,"Auction"
2021-09-13,9,405,"Auction"
2021-09-13,10,870,"Auction"
2021-09-12,9,429.99,"Auction"
2021-09-11,9,429.99,"Auction"
2021-09-01,10,920,"Auction"
2021-08-31,10,911,"Auction"
2021-08-31,10,940,"Auction"
2021-08-31,9,390,"Auction"
2021-08-30,10,910,"Auction"
2021-08-30,10,976,"Auction"
2021-08-28,9,510,"Auction"
2021-08-27,10,860,"Auction"
2021-08-27,9,381,"Auction"
2021-08-25,9,404.99,"Auction"
2021-08-24,10,1015.21,"Auction"
2021-08-24,10,900,"Auction"
2021-08-24,10,925,"Auction"
2021-08-23,9,445,"Auction"
2021-08-22,9,425,"Auction"
2021-08-20,9,485,"Auction"
2021-08-20,10,900,"Auction"
2021-08-20,10,1027,"Auction"
2021-08-20,10,925,"Auction"
2021-08-20,10,1825,"Auction"
2021-08-19,9,430,"Auction"
2021-08-19,9,475,"Auction"
2021-08-19,10,1027,"Auction"
2021-08-19,10,1002,"Auction"
2021-08-18,9,453.35,"Auction"
2021-08-09,9,420,"Auction"
2021-08-09,10,787,"Auction"
2021-08-09,10,920,"Auction"
2021-08-08,10,1075,"Auction"
2021-08-08,9,377,"Auction"
2021-08-07,9,290,"Auction"
2021-08-07,10,940,"Auction"
2021-08-07,10,1033.67,"Auction"
2021-08-07,9,415,"Auction"
2021-08-05,10,1000,"Auction"
2021-08-03,9,510,"Auction"
2021-08-01,10,910,"Auction"
2021-07-30,8,365,"Auction"
2021-07-30,8,360,"Auction"
2021-07-30,10,990,"Auction"
2021-07-30,10,900,"Auction"
2021-07-30,9,590,"Auction"
2021-07-29,9,455,"Auction"
2021-07-29,9,450,"Auction"
2021-07-27,9,375,"Auction"
2021-07-27,10,967.54,"Auction"
2021-07-27,9,456,"Auction"
2021-07-27,9,470,"Auction"
2021-07-26,10,971,"Auction"
2021-07-26,10,875,"Auction"
2021-07-26,10,950,"Auction"
2021-07-25,9,475,"Auction"
2021-07-25,10,950,"Auction"
2021-07-21,9,449,"Auction"
2021-07-21,9,449,"Auction"
2021-07-20,9,405,"Auction"
2021-07-19,9,401,"Auction"
2021-07-19,9,445,"Auction"
2021-07-18,9,387,"Auction"
2021-07-17,9,370,"Auction"
2021-07-17,9,405,"Auction"
2021-07-16,9,355,"Auction"
2021-07-15,9,412,"Auction"
