"Date","Grade","Price","Sale Type"
2021-11-05,10,410,"Auction"
2021-11-05,10,431.76,"Auction"
2021-11-02,10,421,"Auction"
2021-11-02,9,181.54,"Auction"
2021-10-30,10,585,"Auction"
2021-10-30,10,421,"Auction"
2021-10-29,10,476,"Auction"
2021-10-29,10,426,"Auction"
2021-10-27,10,449,"Auction"
2021-10-27,9,245,"Auction"
2021-10-26,10,497,"Auction"
2021-10-25,10,400,"Auction"
2021-10-25,9,250,"Auction"
2021-10-24,10,445,"Auction"
2021-10-24,10,480,"Auction"
2021-10-23,10,425,"Auction"
2021-10-21,9,160,"Auction"
2021-10-21,10,495,"Auction"
2021-10-21,10,460,"Auction"
2021-10-20,9,256,"Auction"
2021-10-20,10,475,"Auction"
2021-10-18,9,202.5,"Auction"
2021-10-05,10,485,"Auction"
2021-10-04,9,222.5,"Auction"
2021-10-03,10,405,"Auction"
2021-10-03,10,400,"Auction"
2021-10-03,10,482,"Auction"
2021-10-03,9,165.5,"Auction"
2021-10-03,9,206.5,"Auction"
2021-10-01,10,440,"Auction"
2021-10-01,10,415,"Auction"
2021-10-01,10,424,"Auction"
2021-09-30,9,348.47,"Auction"
2021-09-29,9,216.5,"Auction"
2021-09-29,10,424.65,"Auction"
2021-09-29,9,255,"Auction"
2021-09-29,10,438,"Auction"
2021-09-28,10,500,"Auction"
2021-09-28,10,430,"Auction"
2021-09-28,9,196.5,"Auction"
2021-09-28,10,445,"Auction"
2021-09-27,10,610,"Auction"
2021-09-24,10,465,"Auction"
2021-09-23,9,216.5,"Auction"
2021-09-23,10,790,"Auction"
2021-09-23,10,435,"Auction"
2021-09-22,10,460,"Auction"
2021-09-22,9,222.5,"Auction"
2021-09-22,10,399.95,"Auction"
2021-09-04,10,440,"Auction"
2021-09-04,10,450,"Auction"
2021-09-03,10,485,"Auction"
2021-09-02,9,310,"Auction"
2021-09-02,10,421,"Auction"
2021-09-02,10,420,"Auction"
2021-09-01,10,460,"Auction"
2021-09-01,10,440,"Auction"
2021-09-01,10,250,"Auction"
2021-08-31,10,462.03,"Auction"
2021-08-30,10,400,"Auction"
2021-08-30,10,430,"Auction"
2021-08-30,10,535,"Auction"
2021-08-29,10,455,"Auction"
2021-08-29,9,274.87,"Auction"
2021-08-29,9,305,"Auction"
2021-08-29,9,261.3,"Auction"
2021-08-28,10,482,"Auction"
2021-08-27,10,560,"Auction"
2021-08-26,10,495,"Auction"
2021-08-25,9,215.5,"Auction"
2021-08-25,8,177.5,"Auction"
2021-08-24,10,497,"Auction"
2021-08-24,10,495,"Auction"
2021-08-24,10,495,"Auction"
2021-08-15,10,485,"Auction"
2021-08-15,10,511.65,"Auction"
2021-08-14,10,650,"Auction"
2021-08-13,10,920,"Auction"
2021-08-13,10,565,"Auction"
2021-08-12,10,1039.71,"Auction"
2021-08-12,10,420,"Auction"
2021-08-11,10,410,"Auction"
2021-08-11,10,522.75,"Auction"
2021-08-11,10,460,"Auction"
2021-08-10,9,230,"Auction"
2021-08-10,10,510,"Auction"
2021-08-09,10,421,"Auction"
2021-08-08,10,460,"Auction"
2021-08-07,9,265,"Auction"
2021-08-07,10,472,"Auction"
2021-08-07,10,300,"Auction"
2021-08-07,9,261.07,"Auction"
2021-08-05,10,511,"Auction"
2021-08-04,9,225,"Auction"
2021-08-04,10,420,"Auction"
2021-08-04,10,530,"Auction"
2021-08-03,10,470,"Auction"
2021-08-02,10,687.76,"Auction"
2021-08-02,9,205.5,"Auction"
2021-08-02,10,435,"Auction"
2021-07-31,9,226.5,"Auction"
2021-07-30,10,570,"Auction"
2021-07-30,10,430,"Auction"
2021-07-30,10,610,"Auction"
2021-07-29,10,460,"Auction"
2021-07-27,9,263.19,"Auction"
2021-07-26,10,450.6,"Auction"
2021-07-26,10,436,"Auction"
2021-07-25,10,475,"Auction"
2021-07-25,10,475,"Auction"
2021-07-25,10,510,"Auction"
2021-07-24,10,491,"Auction"
2021-07-24,10,500,"Auction"
2021-07-24,9,306,"Auction"
2021-07-24,10,465,"Auction"
2021-07-23,10,500,"Auction"
2021-07-23,10,556.54,"Auction"
2021-07-22,10,510,"Auction"
2021-07-22,9,255,"Auction"
2021-07-22,10,350,"Auction"
2021-07-22,10,450,"Auction"
2021-07-22,10,485,"Auction"
2021-07-22,10,350,"Auction"
2021-07-21,10,455,"Auction"
2021-03-09,9,315,"Auction"
2021-03-09,9,381,"Auction"
2021-03-08,10,670,"Auction"
2021-03-08,9,345,"Auction"
2021-03-08,10,710,"Auction"
2021-03-08,10,580,"Auction"
2021-03-08,9,300,"Auction"
2021-03-07,10,676,"Auction"
2021-03-07,10,610,"Auction"
2021-03-07,9,300,"Auction"
2021-03-07,9,405,"Auction"
2021-03-06,9,345,"Auction"
2021-03-06,10,660,"Auction"
2021-03-05,10,710,"Auction"
2021-03-05,9,365,"Auction"
2021-03-05,10,655,"Auction"
2021-03-04,10,1143.23,"Best Offer"
2021-03-04,10,660,"Auction"
2021-03-04,8,307,"Auction"
2021-03-04,10,712,"Auction"
2021-03-03,9,341.03,"Auction"
2021-03-03,9,350,"Auction"
2021-03-03,10,1250,"Auction"
2021-03-03,10,660,"Auction"
2021-03-02,10,695,"Auction"
2021-03-02,10,660,"Auction"
2021-03-02,9,335,"Auction"
2021-03-01,10,710,"Auction"
2021-03-01,10,700,"Best Offer"
2021-03-01,10,815,"Best Offer"
2021-03-01,10,701.46,"Auction"
2021-03-01,10,703,"Auction"
2021-02-28,10,630,"Auction"
2021-02-28,10,659,"Auction"
2021-02-28,10,640,"Auction"
2021-02-28,9,420,"Best Offer"
2021-02-28,10,690,"Auction"
2021-02-28,10,630,"Auction"
2021-02-28,10,640,"Auction"
2021-02-28,10,655,"Auction"
2021-02-28,10,650,"Auction"
2021-02-28,10,610,"Auction"
2021-02-28,10,710,"Auction"
2021-02-28,10,640,"Auction"
2021-02-28,9,330,"Auction"
2021-02-28,10,640,"Auction"
2021-02-28,9,395,"Auction"
2021-02-28,10,670,"Auction"
2021-02-28,10,760,"Auction"
2021-02-28,10,635,"Auction"
2021-02-28,10,710,"Auction"
2021-02-28,10,700,"Auction"
2021-02-28,10,729.95,"Best Offer"
2021-02-27,10,701,"Auction"
2021-02-27,10,685,"Auction"
2021-02-26,10,620,"Auction"
2021-02-26,10,1250,"Auction"
2021-02-26,9,385,"Best Offer"
2021-02-26,10,635,"Auction"
2021-02-26,10,795,"Best Offer"
2021-02-25,10,705.12,"Best Offer"
2021-02-25,10,735,"Auction"
2021-02-24,9,650,"Best Offer"
2021-02-24,10,700,"Auction"
2021-02-24,10,660,"Auction"
2021-02-23,10,645,"Auction"
2021-02-23,9,355,"Auction"
2021-02-23,10,749.99,"Best Offer"
2021-02-23,9,400,"Auction"
2021-02-23,9,420,"Auction"
2021-02-23,10,660,"Auction"
2021-02-22,9,330,"Auction"
2021-02-22,10,650,"Auction"
2021-02-22,10,768,"Auction"
2021-02-22,10,780,"Auction"
2021-02-22,9,390,"Auction"
2021-02-22,10,727,"Auction"
2021-02-22,8,280,"Auction"
2021-02-22,9,401,"Auction"
2021-02-21,10,750,"Best Offer"
2021-02-21,10,660,"Auction"
2021-02-21,10,510,"Auction"
2021-02-20,10,660,"Auction"
2021-02-20,9,418,"Auction"
2021-02-14,9,398.99,"Auction"
2021-02-14,9,373.99,"Auction"
2021-02-14,10,725,"Auction"
2021-02-14,10,712.1,"Auction"
2021-02-14,10,670,"Auction"
2021-02-13,10,710,"Auction"
2021-02-13,10,650,"Auction"
2021-02-13,10,626,"Auction"
2021-02-12,10,657.89,"Auction"
2021-02-12,10,689.99,"Auction"
2021-02-12,10,720,"Auction"
2021-02-12,10,701,"Auction"
2021-02-11,9,380,"Auction"
2021-02-11,10,710,"Auction"
2021-02-11,10,570,"Auction"
2021-02-11,10,560,"Auction"
2021-02-11,10,730,"Auction"
2021-02-10,10,680,"Auction"
2021-02-10,9,355,"Auction"
2021-02-09,10,718,"Auction"
2021-02-09,10,20,"Auction"
2021-02-09,9,460,"Auction"
2021-02-09,10,700,"Auction"
2021-02-09,10,685,"Auction"
2021-02-08,10,720,"Auction"
2021-02-08,10,770,"Auction"
2021-02-08,10,700,"Auction"
2021-02-08,10,722,"Auction"
2021-02-08,10,710,"Auction"
2021-02-07,10,740,"Auction"
2021-02-07,9,395,"Auction"
2021-02-06,10,749.99,"Best Offer"
2021-02-06,10,700,"Auction"
2021-02-06,9,360,"Auction"
2021-02-06,10,665,"Auction"
2021-02-05,9,365,"Auction"
2021-02-05,10,610,"Auction"
2021-02-05,9,360,"Auction"
2021-02-05,10,710,"Auction"
2021-02-05,9,400,"Auction"
2021-02-04,9,455,"Auction"
2021-02-04,10,603,"Auction"
2021-02-04,10,685,"Auction"
2021-02-04,10,705,"Auction"
2021-02-03,9,405,"Auction"
2021-02-03,9,375,"Auction"
2021-02-03,10,725,"Auction"
2021-02-03,9,385,"Auction"
2021-02-03,9,310,"Auction"
2021-02-03,10,660,"Auction"
2021-02-01,10,670,"Auction"
2021-02-01,10,630,"Auction"
2021-02-01,10,793,"Auction"
2021-02-01,9,381,"Auction"
2021-01-31,9,410,"Auction"
2021-01-31,9,340,"Auction"
2021-01-31,10,690,"Auction"
2021-01-31,10,680,"Auction"
2021-01-30,10,670,"Auction"
2021-01-30,10,685,"Auction"
2021-01-30,10,743,"Auction"
2021-01-30,10,720,"Auction"
2021-01-30,10,672,"Auction"
2021-01-30,10,1825,"Auction"
2021-01-30,9,375,"Auction"
2021-01-29,10,670,"Auction"
2021-01-29,9,394,"Auction"
2021-01-28,10,698,"Auction"
2021-01-28,10,690,"Auction"
2021-01-28,10,720,"Auction"
2021-01-28,9,495,"Auction"
2021-01-28,10,640,"Auction"
2021-01-27,10,690,"Auction"
2021-01-27,10,700,"Auction"
2021-01-27,10,680,"Auction"
2021-01-27,9,400,"Auction"
2021-01-27,10,720,"Auction"
2021-01-26,9,367.89,"Auction"
2021-01-26,10,122.5,"Auction"
2021-01-26,10,700,"Best Offer"
2021-01-26,10,710,"Auction"
2021-01-26,10,791,"Auction"
2021-01-26,10,750,"Best Offer"
2021-01-26,10,650,"Auction"
2021-01-26,10,660,"Auction"
2021-01-25,10,713,"Auction"
2021-01-25,10,700,"Best Offer"
2021-01-25,10,450,"Auction"
2021-01-25,10,780,"Auction"
2021-01-25,10,611.89,"Auction"
2021-01-25,10,700,"Auction"
2021-01-25,10,1107.39,"Auction"
2021-01-25,8,305,"Auction"
2021-01-25,10,650,"Auction"
2021-01-24,10,750,"Best Offer"
2021-01-24,10,730,"Auction"
2021-01-24,10,660,"Auction"
2021-01-24,9,360,"Best Offer"
2021-01-23,10,710,"Auction"
2021-01-23,10,800,"Auction"
2021-01-19,10,655.51,"Auction"
2021-01-18,10,1350,"Auction"
2021-01-18,8,305,"Auction"
2021-01-18,10,645,"Auction"
2021-01-18,10,720,"Auction"
2021-01-18,8,290,"Auction"
2021-01-18,9,350,"Auction"
2021-01-17,10,675,"Auction"
2021-01-17,10,670,"Auction"
2021-01-17,10,650,"Best Offer"
2021-01-17,9,375,"Auction"
2021-01-16,10,690,"Auction"
2021-01-16,10,680.99,"Auction"
2021-01-16,10,675,"Auction"
2021-01-16,10,640,"Auction"
