"Date","Grade","Price","Sale Type"
2022-01-31,9,132.5,"Auction"
2022-01-30,6,31,"Auction"
2022-01-30,7,53.24,"Auction"
2022-01-30,9,137.5,"Auction"
2022-01-29,6,27,"Auction"
2022-01-29,3,25,"Auction"
2021-10-04,5,15.52,"Auction"
2021-10-04,8,51,"Auction"
2021-10-04,6,17.5,"Auction"
2021-10-04,9,113.5,"Auction"
2021-10-04,8,105.6,"Auction"
2021-10-04,9,486.05,"Auction"
2021-10-04,5,18.5,"Auction"
2021-10-04,6,19.5,"Auction"
2021-10-03,7,48.62,"Auction"
2021-10-03,8,51,"Auction"
2021-10-03,7,48,"Auction"
2021-10-03,5,14.75,"Auction"
2021-10-02,9,190,"Auction"
2021-10-02,9,149.99,"Auction"
2021-10-01,8,29.21,"Auction"
2021-10-01,7,25.25,"Auction"
2021-10-01,9,103.8,"Auction"
2021-10-01,9,101.83,"Auction"
2021-09-30,8,41,"Auction"
2021-09-30,7,31,"Auction"
2021-09-30,8,61,"Auction"
2021-09-30,5,26,"Auction"
2021-09-29,5,31,"Auction"
2021-09-28,5,38,"Auction"
2021-09-28,6,36,"Auction"
2021-09-02,3,28,"Auction"
2021-09-02,10,582,"Auction"
2021-09-01,6,28,"Auction"
2021-09-01,8,50,"Auction"
2021-09-01,6,32.9,"Auction"
2021-09-01,8,36,"Auction"
2021-09-01,5,20.52,"Auction"
2021-08-29,6,102.5,"Auction"
2021-08-26,5,24.5,"Auction"
2021-08-23,5,23.5,"Auction"
2021-08-23,9,164.5,"Auction"
2021-08-22,9,224.5,"Auction"
2021-08-22,8,52,"Auction"
2021-08-22,3,21.5,"Auction"
2021-08-21,6,38,"Auction"
2021-08-21,7,45,"Auction"
2021-08-20,9,152.5,"Auction"
2021-08-20,8,97,"Auction"
2021-08-20,7,51,"Auction"
2021-08-20,9,117.5,"Auction"
2021-08-19,6,53.65,"Auction"
2021-08-19,7,55,"Auction"
2021-08-17,7,46,"Auction"
2021-08-17,7,49,"Auction"
2021-08-16,9,157.5,"Auction"
2021-08-12,9,182.5,"Auction"
2021-08-12,9,155.5,"Auction"
2021-08-11,8,71,"Auction"
2021-08-09,6,33,"Auction"
2021-08-09,7,53,"Auction"
2021-08-08,3,24.95,"Auction"
2021-08-07,4,20.5,"Auction"
2021-08-07,9,157,"Auction"
2021-08-07,6,15.5,"Auction"
2021-08-06,8,102.5,"Auction"
2021-08-05,7,66,"Auction"
2021-08-04,9,224.5,"Auction"
2021-08-04,9,152,"Auction"
2021-08-04,6,35,"Auction"
2021-08-03,5,50,"Auction"
2021-08-03,7,64,"Auction"
2021-08-02,9,125,"Auction"
2021-07-31,7,39,"Auction"
2021-07-31,6,37.79,"Auction"
2021-07-29,6,75.2,"Auction"
2021-07-28,9,191.5,"Auction"
2021-07-28,9,163.5,"Auction"
2021-07-28,8,56,"Auction"
2021-07-28,8,63.09,"Auction"
2021-07-28,9,154.5,"Auction"
2021-07-16,9,205.2,"Auction"
2021-07-16,9,152.5,"Auction"
2021-07-16,8,75,"Auction"
2021-07-16,8,67,"Auction"
2021-07-16,5,35,"Auction"
2021-07-16,8,98,"Auction"
2021-07-16,8,107,"Auction"
2021-07-14,9,145,"Auction"
2021-07-14,7,49,"Auction"
2021-07-14,8,61,"Auction"
2021-07-12,9,93,"Auction"
2021-07-12,9,51.9,"Auction"
2021-07-12,6,78,"Auction"
2021-07-12,7,62,"Auction"
2021-07-12,5,41,"Auction"
2021-07-12,9,211.38,"Auction"
2021-07-12,4,67,"Auction"
2021-07-11,9,410,"Auction"
2021-07-11,9,140.5,"Auction"
2021-07-11,9,132,"Auction"
2021-07-10,10,1000,"Auction"
2021-07-03,9,215.5,"Auction"
2021-07-03,5,27,"Auction"
2021-07-02,8,92.51,"Auction"
2021-07-01,9,112.5,"Auction"
2021-06-25,5,38,"Auction"
2021-06-20,7,50,"Auction"
2021-06-20,7,51,"Auction"
2021-06-18,9,134.37,"Auction"
2021-06-18,9,399,"Auction"
2021-06-17,9,179.5,"Auction"
2021-06-16,8,74,"Auction"
2021-06-15,5,150,"Auction"
2021-06-15,10,1625,"Auction"
2021-06-14,9,202.5,"Auction"
2021-06-13,6,40,"Auction"
2021-06-13,8,102.5,"Auction"
2021-06-12,6,43,"Auction"
2021-06-11,10,1025,"Auction"
2021-06-10,6,42,"Auction"
2021-06-09,7,300,"Auction"
2021-06-07,8,51,"Auction"
2021-06-05,8,104.5,"Auction"
2021-06-04,9,150,"Auction"
2021-06-03,9,189.98,"Auction"
2021-05-31,9,139.5,"Auction"
2021-05-31,5,57,"Auction"
2021-05-30,7,56,"Auction"
2021-05-29,9,296,"Auction"
2021-05-29,6,33,"Auction"
2021-04-20,9,287,"Auction"
2021-04-20,7,81,"Auction"
2021-04-20,10,1320,"Auction"
2021-04-19,8,125.5,"Auction"
2021-04-19,10,1175,"Auction"
2021-04-19,6,51,"Auction"
2021-04-18,9,143.8,"Auction"
2021-04-18,5,66,"Auction"
2021-04-18,9,244.5,"Auction"
2021-04-17,9,269.69,"Auction"
2021-04-16,8,150,"Auction"
2021-04-16,8,190.5,"Auction"
2021-04-16,9,281,"Auction"
2021-04-16,7,158.5,"Auction"
2021-04-15,9,300,"Auction"
2021-04-15,9,270,"Auction"
2021-04-15,7,177.5,"Auction"
2021-04-15,8,250,"Best Offer"
2021-04-14,7,145.5,"Auction"
2021-04-14,9,150,"Auction"
2021-04-13,9,213.5,"Auction"
2021-04-12,8,139.99,"Auction"
2021-04-12,7,70,"Best Offer"
2021-04-11,8,200,"Auction"
2021-04-11,9,270,"Auction"
2021-04-11,9,142.5,"Auction"
2021-04-11,9,151.5,"Auction"
2021-04-10,9,360,"Auction"
2021-04-10,5,40,"Auction"
2021-04-09,9,209.8,"Auction"
2021-04-09,6,91,"Auction"
2021-04-09,6,10,"Auction"
2021-04-08,5,49.99,"Best Offer"
2021-04-08,9,95,"Auction"
2021-04-07,8,120,"Best Offer"
2021-04-07,3,115,"Best Offer"
2021-04-06,8,110,"Best Offer"
2021-04-06,9,550,"Best Offer"
2021-04-06,8,201,"Auction"
2021-04-06,9,225,"Best Offer"
2021-04-05,6,32,"Auction"
2021-04-05,8,125,"Auction"
2021-04-04,9,200,"Auction"
2021-04-04,8,132.5,"Auction"
2021-04-04,9,385,"Auction"
2021-04-03,8,100,"Auction"
2021-04-02,7,71,"Auction"
2021-04-02,5,36,"Auction"
2021-04-01,9,159.08,"Auction"
2021-04-01,9,164.5,"Auction"
2021-03-29,8,200,"Auction"
2021-03-29,9,363,"Auction"
2021-03-29,7,122.5,"Auction"
2021-03-29,9,384,"Auction"
2021-03-29,9,290,"Auction"
2021-03-27,8,76,"Auction"
2021-03-27,9,203.19,"Auction"
2021-03-27,5,31,"Auction"
2021-03-27,8,102.5,"Auction"
2021-03-26,8,112.5,"Auction"
2021-03-26,7,59.75,"Auction"
2021-03-26,8,152.5,"Auction"
2021-03-26,5,44.61,"Auction"
2021-03-25,9,50,"Auction"
2021-03-25,6,99,"Auction"
2021-03-25,5,34,"Auction"
2021-03-25,5,45,"Auction"
2021-03-25,10,2450,"Best Offer"
2021-03-23,9,430,"Auction"
2021-03-23,8,77,"Auction"
2021-03-22,9,570,"Auction"
2021-03-22,8,100,"Auction"
2021-03-21,9,229.5,"Auction"
2021-03-21,8,60.74,"Auction"
2021-03-21,9,250,"Auction"
2021-03-20,6,75,"Best Offer"
2021-03-20,9,246,"Auction"
